iteration=59|loss_val=0.22541967034339905|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.035492122173309326|dice_val=0.06863097846508026|loss=0.24707721173763275|acc=None|prec=0.0|rec=0.0|jaccard=0.039633043110370636|dice=0.07621315121650696|time=13.77037239074707
iteration=60|loss_val=0.22433055937290192|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.03548641875386238|dice_val=0.06864254176616669|loss=0.2409360259771347|acc=None|prec=0.0|rec=0.0|jaccard=0.03842054307460785|dice=0.07401082664728165|time=13.52243423461914
iteration=61|loss_val=0.22449891269207|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.035845495760440826|dice_val=0.06933337450027466|loss=0.2429540902376175|acc=None|prec=0.0|rec=0.0|jaccard=0.03867925703525543|dice=0.07448935508728027|time=13.532118320465088
iteration=62|loss_val=0.22196362912654877|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.035339754074811935|dice_val=0.06838477402925491|loss=0.24137413501739502|acc=None|prec=0.0|rec=0.0|jaccard=0.03827350214123726|dice=0.07374629378318787|time=13.868990659713745
iteration=63|loss_val=0.21217751502990723|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.03316257894039154|dice_val=0.06427999585866928|loss=0.24004586040973663|acc=None|prec=0.0|rec=0.0|jaccard=0.037883687764406204|dice=0.07303296029567719|time=13.73452353477478
iteration=64|loss_val=0.21870028972625732|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.034064535051584244|dice_val=0.0660041943192482|loss=0.240577831864357|acc=None|prec=0.0|rec=0.0|jaccard=0.03795474022626877|dice=0.07318112254142761|time=13.706749200820923
iteration=65|loss_val=0.22124943137168884|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.03464094549417496|dice_val=0.06711187213659286|loss=0.2408016473054886|acc=None|prec=0.0|rec=0.0|jaccard=0.03784212842583656|dice=0.072983019053936|time=13.82300591468811
iteration=66|loss_val=0.2181812971830368|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.0337832048535347|dice_val=0.06548565626144409|loss=0.23302613198757172|acc=None|prec=0.0|rec=0.0|jaccard=0.03627315163612366|dice=0.07008655369281769|time=13.828391790390015
iteration=67|loss_val=0.2128358632326126|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.03308608755469322|dice_val=0.06420440971851349|loss=0.23735713958740234|acc=None|prec=0.0|rec=0.0|jaccard=0.03672075271606445|dice=0.07090579718351364|time=13.972186088562012
iteration=68|loss_val=0.21522121131420135|acc_val=None|prec_val=0.0|rec_val=0.0|jaccard_val=0.03357122093439102|dice_val=0.06510879099369049|loss=0.2379714697599411|acc=None|prec=0.0|rec=0.0|jaccard=0.03644641488790512|dice=0.07040649652481079|time=13.934966802597046
